timestamp,license_plate,confidence,vehicle_type,speed,violations
2025-03-29 23:38:00.011,'BNTNRUT,0.12,Car,5.5,Lane Crossing
2025-03-29 23:38:00.453,WSSU,0.38,Unknown,0.0,None
2025-03-29 23:38:00.453,FHWADINRUZ,0.08,Unknown,0.0,None
2025-03-29 23:38:00.453,WSSU,0.38,Car,4.6,Lane Crossing
2025-03-29 23:38:00.453,FHWADINRUZ,0.08,Car,5.7,Lane Crossing
2025-03-29 23:38:00.453,FHWADINRUZ,0.08,Car,5.8,Lane Crossing
2025-03-29 23:38:00.934,MSASW,0.12,Unknown,0.0,None
2025-03-29 23:38:00.934,NAIJNRU,0.81,Unknown,0.0,None
2025-03-29 23:38:00.934,MSASW,0.12,Car,4.6,Lane Crossing
2025-03-29 23:38:00.934,NAIJNRU,0.81,Car,5.3,Lane Crossing
2025-03-29 23:38:00.934,NAIJNRU,0.81,Car,5.4,Lane Crossing
2025-03-29 23:38:01.453,CSUSU,0.14,Unknown,0.0,None
2025-03-29 23:38:01.453,ENAIANWF,0.08,Unknown,0.0,None
2025-03-29 23:38:01.453,CSUSU,0.14,Car,4.7,Lane Crossing
2025-03-29 23:38:01.453,ENAIANWF,0.08,Car,5.4,Lane Crossing
2025-03-29 23:38:01.453,ENAIANWF,0.08,Car,4.8,Lane Crossing
2025-03-29 23:38:02.012,HUSSW,0.48,Unknown,0.0,None
2025-03-29 23:38:02.012,WEMAANRU,0.09,Unknown,0.0,None
2025-03-29 23:38:02.012,HUSSW,0.48,Car,4.8,Lane Crossing
2025-03-29 23:38:02.012,WEMAANRU,0.09,Car,5.5,Lane Crossing
2025-03-29 23:38:02.012,WEMAANRU,0.09,Car,4.3,Lane Crossing
2025-03-29 23:38:02.491,MMS)TS:,0.05,Unknown,0.0,None
2025-03-29 23:38:02.491,@MAJIRU,0.07,Unknown,0.0,None
2025-03-29 23:38:02.491,MMS)TS:,0.05,Car,4.4,Lane Crossing
2025-03-29 23:38:02.491,@MAJIRU,0.07,Car,5.1,Lane Crossing
2025-03-29 23:38:02.491,@MAJIRU,0.07,Car,3.9,Lane Crossing
2025-03-29 23:38:03.010,WSIVSU,0.39,Unknown,0.0,None
2025-03-29 23:38:03.010,NAIJNRU,0.28,Unknown,0.0,None
2025-03-29 23:38:03.010,WSIVSU,0.39,Car,4.1,Lane Crossing
2025-03-29 23:38:03.010,NAIJNRU,0.28,Car,5.0,Lane Crossing
2025-03-29 23:38:03.010,NAIJNRU,0.28,Car,3.8,Lane Crossing
2025-03-29 23:38:03.514,@NJARIT,0.07,Unknown,0.0,None
2025-03-29 23:38:03.514,WSISU,0.18,Unknown,0.0,None
2025-03-29 23:38:03.514,WSISU,0.18,Car,3.8,Lane Crossing
2025-03-29 23:38:03.514,@NJARIT,0.07,Car,5.8,Lane Crossing
2025-03-29 23:38:03.514,@NJARIT,0.07,Car,3.5,Lane Crossing
2025-03-29 23:38:03.993,NNJNRI,0.21,Unknown,0.0,None
2025-03-29 23:38:03.993,MVSWGD),0.09,Unknown,0.0,None
2025-03-29 23:38:03.993,MVSWGD),0.09,Car,3.5,Lane Crossing
2025-03-29 23:38:03.993,NNJNRI,0.21,Car,5.7,Lane Crossing
2025-03-29 23:38:03.993,NNJNRI,0.21,Car,3.4,Lane Crossing
2025-03-29 23:38:04.446,CSISV,0.10,Unknown,0.0,None
2025-03-29 23:38:04.446,NAI3NRU,0.16,Unknown,0.0,None
2025-03-29 23:38:04.446,CSISV,0.10,Car,4.6,Lane Crossing
